date,capture,etas,is_capture_precise,is_etas_precise
2020-01-26,1.5,0.82,True,True
2020-01-27,1.2,0.431,True,True
2020-01-28,1.96,0.758,True,True
2020-01-29,1.59,0.802,True,True
2020-01-30,1.56,0.838,True,True
2020-02-03,0.78,0.3,True,True
2020-02-04,0.39,0.072,True,True
2020-02-05,0.65,0.187,True,True
2020-02-06,0.68,0.121,True,True
2020-02-07,0.45,0.22,True,True
2020-02-08,0.033,0.027,True,True
2020-02-09,0.018,0.018,True,True
2020-02-10,0.056,0.022,True,True
2020-02-11,0.111,0.01,True,False
2020-02-12,0.052,0.05,True,True
2020-02-13,0.057,0.031,True,True
2020-02-14,0.064,0.034,True,True
2020-02-15,0.01,0.01,False,False
2020-02-16,0.026,0.01,True,False
2020-02-17,0.029,0.026,True,True
2020-02-21,0.043,0.014,True,True
2020-02-22,0.043,0.016,True,True
2020-02-23,0.042,0.023,True,True
2020-02-24,0.047,0.015,True,True
2020-02-25,0.019,0.011,True,True
2020-02-26,0.014,0.01,True,False
2020-02-27,0.016,0.01,True,False
2020-02-28,0.01,0.018,False,True
2020-02-29,0.01,0.01,False,False
2020-03-01,0.022,0.01,True,True
2020-03-02,0.026,0.01,True,False
2020-03-03,0.01,0.01,False,False
2020-03-04,0.01,0.01,False,False
2020-03-05,0.01,0.01,False,False
2020-03-06,0.01,0.01,False,False
2020-03-07,0.01,0.01,False,False
2020-03-08,0.01,0.01,False,False
2020-03-09,0.01,0.01,False,False
2020-03-10,0.01,0.01,False,False
2020-03-11,0.01,0.01,False,False
2020-03-12,0.042,0.01,True,False
2020-03-13,0.01,0.01,False,False
2020-03-14,0.01,0.01,False,False
2020-03-15,0.01,0.01,False,False
2020-03-16,0.01,0.01,False,False
2020-03-17,0.01,0.01,False,False
2020-03-18,0.058,0.018,True,True
